,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Team Orbs (7-6),.4636,.7736,38,225,109,35,14,59,464,6-3-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Ithaca is Gorges (7-6),.4625,.7889,32,151,71,16,13,46,387,3-6-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),The Real Power (7-6),.4520,.7339,45,165,109,21,30,51,494,6-3-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Nerlens Jazz (3-10),.4863,.7162,36,112,69,33,11,65,373,1-8-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Too Easy (9-4),.4784,.7722,40,148,84,34,19,56,433,8-1-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Team Rocket (8-5),.4535,.7557,44,251,99,21,24,75,557,4-5-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Players Only Meeting (8-4-1),.4129,.8289,61,158,104,50,18,70,508,5-4-0

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),The Dazzling Lobcity Stars (3-10),.4986,.7540,43,154,105,17,24,57,504,6-3-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Nerlens Jazz (3-10),.4954,.8487,36,103,96,25,14,47,461,3-6-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Old City Irony (8-5),.4759,.7638,35,129,75,31,15,38,468,4-5-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Team Orbs (7-6),.4592,.7087,41,181,103,33,19,71,452,5-4-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),The Real Power (7-6),.4894,.7426,44,149,152,26,16,55,487,6-3-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Da Bulter is in Town (7-5-1),.4693,.8571,39,147,98,30,11,53,405,3-6-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Too Easy (9-4),.4528,.7329,48,206,101,37,26,80,539,6-3-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Mr Steal  Your Ball (4-7-2),.4682,.8030,41,129,77,20,14,45,462,3-6-0
