,index,Week Name,Matchup Number,NAME,FGP,FTP,3PM,REB,AST,STL,BLK,TO,PTS,SCORE,WEEK_NUM,Week_WL
49,49,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),1,The Dazzling Lobcity Stars (4-15),0.4533,0.6941,31,184,87,17,25,55,420,5-4-0,5,1
50,50,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),2,Old City Irony (11-7-1),0.4358,0.8107,36,217,79,37,26,51,533,6-2-1,5,1
51,51,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),2,Mr Steal  Your Ball (8-9-2),0.4687,0.7429,48,137,66,37,6,53,414,2-6-1,5,-1
52,52,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),3,Da Bulter is in Town (9-9-1),0.4562,0.9009,57,189,103,24,18,61,501,4-5-0,5,-1
53,53,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),3,Ithaca is Gorges (9-10),0.4568,0.746,46,196,101,29,21,58,389,5-4-0,5,1
54,54,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),4,Team Orbs (11-8),0.4686,0.8229,23,191,108,27,14,59,430,6-3-0,5,1
55,55,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),4,Nerlens Jazz (5-13-1),0.4618,0.8023,28,119,95,31,11,51,351,3-6-0,5,-1
56,56,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),5,The Real Power (11-8),0.4738,0.7553,48,215,122,28,21,89,499,7-2-0,5,1
57,57,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),5,Team Rocket (13-6),0.4755,0.7414,40,184,90,25,15,58,436,2-7-0,5,-1
58,58,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),6,Too Easy (10-9),0.5013,0.7907,44,197,132,33,27,64,536,7-2-0,5,1
59,59,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),6,Center City ABDs (7-12),0.4906,0.7424,58,147,77,13,25,51,419,2-7-0,5,-1
60,60,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),1,Center City ABDs (7-12),0.453,0.8684,39,118,83,27,12,45,365,5-4-0,6,1
61,61,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),1,The Dazzling Lobcity Stars (4-15),0.4313,0.6753,32,181,91,28,29,51,360,4-5-0,6,-1
62,62,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),2,Da Bulter is in Town (9-9-1),0.4595,0.8082,45,136,98,33,13,53,410,5-4-0,6,1
63,63,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),2,Old City Irony (11-7-1),0.455,0.8197,38,175,97,20,18,67,502,4-5-0,6,-1
64,64,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),3,Mr Steal  Your Ball (8-9-2),0.4382,0.8116,36,147,69,38,20,66,390,3-6-0,6,-1
65,65,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),3,Team Orbs (11-8),0.4636,0.7736,38,225,109,35,14,59,464,6-3-0,6,1
66,66,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),4,Ithaca is Gorges (9-10),0.4625,0.7889,32,151,71,16,13,46,387,3-6-0,6,-1
67,67,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),4,The Real Power (11-8),0.452,0.7339,45,165,109,21,30,51,494,6-3-0,6,1
68,68,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),5,Nerlens Jazz (5-13-1),0.4863,0.7162,36,112,69,33,11,65,373,1-8-0,6,-1
69,69,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),5,Too Easy (10-9),0.4784,0.7722,40,148,84,34,19,56,433,8-1-0,6,1
70,70,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),6,Team Rocket (13-6),0.4535,0.7557,44,251,99,21,24,75,557,4-5-0,6,-1
71,71,JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),6,Players Only Meeting (13-5-1),0.4129,0.8289,61,158,104,50,18,70,508,5-4-0,6,1
72,72,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),1,The Dazzling Lobcity Stars (4-15),0.4986,0.754,43,154,105,17,24,57,504,6-3-0,7,1
73,73,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),1,Nerlens Jazz (5-13-1),0.4954,0.8487,36,103,96,25,14,47,461,3-6-0,7,-1
74,74,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),2,Old City Irony (11-7-1),0.4759,0.7638,35,129,75,31,15,38,468,4-5-0,7,-1
75,75,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),2,Team Orbs (11-8),0.4592,0.7087,41,181,103,33,19,71,452,5-4-0,7,1
76,76,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),3,The Real Power (11-8),0.4894,0.7426,44,149,152,26,16,55,487,6-3-0,7,1
77,77,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),3,Da Bulter is in Town (9-9-1),0.4693,0.8571,39,147,98,30,11,53,405,3-6-0,7,-1
78,78,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),4,Too Easy (10-9),0.4528,0.7329,48,206,101,37,26,80,539,6-3-0,7,1
79,79,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),4,Mr Steal  Your Ball (8-9-2),0.4682,0.803,41,129,77,20,14,45,462,3-6-0,7,-1
80,80,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),5,Players Only Meeting (13-5-1),0.4441,0.8241,52,120,85,15,8,49,451,4-5-0,7,-1
81,81,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),5,Ithaca is Gorges (9-10),0.4565,0.8205,48,214,88,28,15,57,448,5-4-0,7,1
82,82,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),6,Center City ABDs (7-12),0.5235,0.8161,55,131,77,30,20,63,482,6-2-1,7,1
83,83,JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),6,Team Rocket (13-6),0.5018,0.8675,41,131,66,20,19,48,387,2-6-1,7,-1
84,84,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),1,Mr Steal  Your Ball (8-9-2),0.457,0.732,65,183,74,39,20,60,540,5-4-0,8,1
