"Week Name","Matchup Number","NAME","FG%","FT%","3PM","REB","AST","STL","BLK","TO","PTS","SCORE"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","3","Mr Steal  Your Ball (8-9-2)",".4382",".8116","36","147","69","38","20","66","390","3-6-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","3","Team Orbs (11-8)",".4636",".7736","38","225","109","35","14","59","464","6-3-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","4","Ithaca is Gorges (9-10)",".4625",".7889","32","151","71","16","13","46","387","3-6-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","4","The Real Power (11-8)",".4520",".7339","45","165","109","21","30","51","494","6-3-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","5","Nerlens Jazz (5-13-1)",".4863",".7162","36","112","69","33","11","65","373","1-8-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","5","Too Easy (10-9)",".4784",".7722","40","148","84","34","19","56","433","8-1-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","6","Team Rocket (13-6)",".4535",".7557","44","251","99","21","24","75","557","4-5-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","6","Players Only Meeting (13-5-1)",".4129",".8289","61","158","104","50","18","70","508","5-4-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","1","The Dazzling Lobcity Stars (4-15)",".4986",".7540","43","154","105","17","24","57","504","6-3-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","1","Nerlens Jazz (5-13-1)",".4954",".8487","36","103","96","25","14","47","461","3-6-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","2","Old City Irony (11-7-1)",".4759",".7638","35","129","75","31","15","38","468","4-5-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","2","Team Orbs (11-8)",".4592",".7087","41","181","103","33","19","71","452","5-4-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","3","The Real Power (11-8)",".4894",".7426","44","149","152","26","16","55","487","6-3-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","3","Da Bulter is in Town (9-9-1)",".4693",".8571","39","147","98","30","11","53","405","3-6-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","4","Too Easy (10-9)",".4528",".7329","48","206","101","37","26","80","539","6-3-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","4","Mr Steal  Your Ball (8-9-2)",".4682",".8030","41","129","77","20","14","45","462","3-6-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","5","Players Only Meeting (13-5-1)",".4441",".8241","52","120","85","15","8","49","451","4-5-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","5","Ithaca is Gorges (9-10)",".4565",".8205","48","214","88","28","15","57","448","5-4-0"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","6","Center City ABDs (7-12)",".5235",".8161","55","131","77","30","20","63","482","6-2-1"
"JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3)","6","Team Rocket (13-6)",".5018",".8675","41","131","66","20","19","48","387","2-6-1"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","1","Mr Steal  Your Ball (8-9-2)",".4570",".7320","65","183","74","39","20","60","540","5-4-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","1","The Dazzling Lobcity Stars (4-15)",".4735",".7846","50","176","103","28","31","67","459","4-5-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","2","The Real Power (11-8)",".4554",".8205","39","162","102","20","17","52","399","2-7-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","2","Old City Irony (11-7-1)",".4692",".8521","44","212","106","33","16","65","561","7-2-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","3","Team Orbs (11-8)",".4481",".7941","29","171","114","19","8","59","465","2-7-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","3","Too Easy (10-9)",".5169",".8072","42","157","124","27","32","60","475","7-2-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","4","Da Bulter is in Town (9-9-1)",".4935",".7863","46","164","81","28","14","38","516","7-2-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","4","Players Only Meeting (13-5-1)",".4111",".7416","25","114","47","30","15","51","327","2-7-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","5","Ithaca is Gorges (9-10)",".4894",".6421","46","224","101","26","15","59","477","1-8-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","5","Center City ABDs (7-12)",".4955",".7907","62","159","117","29","16","55","602","8-1-0"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","6","Nerlens Jazz (5-13-1)",".4725",".7685","40","145","87","27","19","49","467","2-6-1"
